2025-09-20 05:58:34 [main] INFO  com.orangehrm.base.BaseClass - config.properties file loaded
2025-09-20 05:58:36 [TestNG-tests-1] INFO  com.orangehrm.base.BaseClass - RemoteWebDriver instance created for Grid in headless mode
2025-09-20 05:58:37 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - RemoteWebDriver instance created for Grid in headless mode
2025-09-20 05:58:45 [TestNG-tests-1] INFO  com.orangehrm.base.BaseClass - WebDriver Initialized and Browser Maximized
2025-09-20 05:58:45 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - WebDriver instance is created
2025-09-20 05:58:45 [TestNG-tests-1] INFO  com.orangehrm.base.BaseClass - ActionDriver initialized for thread: 45
2025-09-20 05:58:45 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with name: username
2025-09-20 05:58:46 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Entered text on Element with name: username-->Admin
2025-09-20 05:58:46 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with name: password
2025-09-20 05:58:46 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Entered text on Element with name: password-->admin123
2025-09-20 05:58:46 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with text: Login
2025-09-20 05:58:46 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Clicked on element: Element with text: Login
2025-09-20 05:58:48 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element located using: By.xpath: //div[@class='oxd-brand-banner']//img
2025-09-20 05:58:48 [TestNG-tests-1] INFO  com.orangehrm.actiondriver.ActionDriver - Element is displayed Element located using: By.xpath: //div[@class='oxd-brand-banner']//img
2025-09-20 05:58:48 [TestNG-tests-1] INFO  com.orangehrm.base.BaseClass - WebDriver instance is closed
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - WebDriver Initialized and Browser Maximized
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - WebDriver instance is created
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - ActionDriver initialized for thread: 46
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with name: username
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Entered text on Element with name: username-->Admin
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with name: password
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Entered text on Element with name: password-->admin121
2025-09-20 05:58:52 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with text: Login
2025-09-20 05:58:53 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Clicked on element: Element with text: Login
2025-09-20 05:58:54 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Texts are Matching:Invalid credentials equals Invalid credentials
2025-09-20 05:58:56 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - WebDriver instance is closed
2025-09-20 05:58:57 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - RemoteWebDriver instance created for Grid in headless mode
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - WebDriver Initialized and Browser Maximized
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - WebDriver instance is created
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - ActionDriver initialized for thread: 46
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with name: username
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Entered text on Element with name: username-->Admin
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with name: password
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Entered text on Element with name: password-->admin123
2025-09-20 05:59:06 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with text: Login
2025-09-20 05:59:07 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Clicked on element: Element with text: Login
2025-09-20 05:59:08 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with text: Admin
2025-09-20 05:59:08 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Element is displayed Element with text: Admin
2025-09-20 05:59:08 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with text: manda user
2025-09-20 05:59:08 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Clicked on element: Element with text: manda user
2025-09-20 05:59:08 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Applied the border with color green to element: Element with text: Logout
2025-09-20 05:59:10 [TestNG-tests-2] INFO  com.orangehrm.actiondriver.ActionDriver - Clicked on element: Element with text: Logout
2025-09-20 05:59:12 [TestNG-tests-2] INFO  com.orangehrm.base.BaseClass - WebDriver instance is closed
